"","cbend","cbstart","ecend","ecstart"
"1482",1362514,3071271,2634224,2634098
"1483",803449,1362656,2634225,2634082
"1484",438277,803318,2634225,2634094
"1486",253337,4583244,2634226,2634098
"1488",315010,2046020,2650172,2649950
"1490",1663005,2635609,2662871,2651163
"1491",943429,1663477,2662871,2662393
"1493",1658385,1660968,2664963,2664876
"1494",941297,1658472,2664965,2664876
"1496",2656453,2645332,2677496,2665769
"1497",13330,2653681,2678889,2674758
"1498",12577,13496,2679591,2678723
"1500",190627,2656456,2680745,2677568
"1503",2662284,2659567,2683577,2680775
"1505",2667886,2662596,2693525,2683589
"1508",4361020,4361936,2697551,2696629
"1509",211765,4361244,2702036,2697327
"1511",741261,742558,2703436,2702148
"1513",472615,4360779,2703980,2697792
"1514",347615,472929,2704850,2703666
"1516",2613010,2856028,2704931,2704453
"1517",2322366,2613296,2704935,2704645
"1519",2831683,4204288,2704955,2704455
"1520",2689372,2831378,2706005,2704650
"1522",2697324,2689702,2713914,2706208
"1523",2698636,2691656,2715311,2708254
"1524",2545956,2697373,2717289,2714026
"1526",2699923,2698655,2721950,2717483
"1527",66789,2699593,2722035,2721619
"1528",66619,66732,2722035,2721977
"1530",581770,2700619,2733658,2722063
"1533",1432313,1634350,2734824,2733380
"1535",1431761,1634884,2735277,2734725
"1537",1429025,1635273,2737122,2734976
"1538",581438,1429392,2757433,2736755
"1539",580977,581667,2757890,2757202
"1542",578176,1423403,2759358,2759204
"1545",1417181,1422691,2771205,2767146
"1546",1415948,1417405,2772288,2770980
"1548",831368,2707084,2783402,2777022
"1550",951454,2707347,2786088,2777339
"1552",2717443,3260136,2787297,2785918
"1553",2725695,2714411,2795622,2784242
"1556",3423551,4171808,2796570,2796389
"1557",2726197,3423371,2796570,2796389
"1559",228747,4213164,2796570,2796437
"1562",3944256,3946827,2799110,2796434
"1563",2728632,3946650,2799110,2796713
"1567",4038071,4212990,2799110,2796713
"1568",226299,4040467,2799125,2796713
"1569",225637,228706,2799886,2796713
"1571",3426896,4038058,2799886,2799225
"1573",2729444,4169180,2800033,2799225
"1575",223549,4210582,2801882,2799225
"1579",4035201,4168265,2801992,2800054
"1580",924813,4037121,2802801,2800070
"1582",1788912,2729551,2812062,2800054
"1583",785900,1789005,2812275,2811969
"1588",2750061,2744114,2820827,2814793
"1589",2753935,2746389,2825404,2817152
"1590",2755368,2750122,2826956,2821591
"1591",2755957,2754018,2844311,2825588
"1593",1209605,2783470,2852021,2844297
"1598",190621,4179745,2895880,2895791
"1600",438273,2656529,2895885,2895768
"1602",1158712,3862565,2896505,2896391
"1604",2171428,2783375,2911873,2911154
"1605",316483,2170170,2911873,2910614
"1610",1210100,2003119,2915260,2914263
"1611",610957,1209690,2924250,2914850
"1613",127776,611632,2928124,2924922
"1617",597105,1279354,2928144,2928021
"1619",1362514,3071269,2928145,2928017
"1620",803449,1362640,2928146,2928019
"1621",253336,803322,2928148,2928019
"1623",1768765,4583244,2928153,2928019
"1624",438286,1768897,2928156,2928021
"1626",1366493,4333597,2942543,2934082
"1629",2798573,2794241,2947704,2942998
"1630",2800465,2798084,2949640,2947218
"1631",2809720,2798988,2960852,2948152
"1632",2482399,2800608,2962739,2951742
"1633",2480993,2482606,2964138,2962532
"1635",780951,2810685,2969728,2961036
"1636",780660,780987,2969730,2969692
"1639",780951,2818371,2969861,2969692
"1641",780660,781544,2969863,2969792
"1644",2818216,2818338,2970081,2969792
"1645",780951,2817923,2970131,2969792
"1647",780660,781545,2970133,2970061
"1650",2818550,2817956,2970413,2969692
"1651",2818357,2818472,2970493,2970335
"1652",2817942,2817642,2970493,2969784
"1655",2817861,2818058,2970552,2970335
"1658",1362515,4583242,2974125,2974021
"1660",2829026,2822085,2981485,2974183
"1661",803328,2824498,2981605,2976982
"1663",438152,3071396,2981609,2981487
"1665",1948616,4583119,2981609,2981487
"1666",596979,1948740,2981612,2981486
"1669",347602,4054303,2984161,2983769
"1673",2837445,2856026,2989996,2983779
"1674",2585360,2829024,2990497,2981613
"1676",2838246,3741263,2990809,2990349
"1677",2610799,2837587,2993237,2990150
"1678",2609714,2611199,2994334,2992837
"1679",2608546,2610423,2995553,2993625
"1680",2604153,2609652,2996262,2994444
"1681",2601625,2604589,2998566,2995823
"1682",2601351,2601702,2998831,2998489
"1684",2850987,3741351,3000138,2998771
"1686",2854263,3139832,3003482,3001215
"1688",2613641,3004808,3005545,3005007
"1690",1964639,2854300,3040082,3003664
"1692",392702,2170163,3047061,3046810
"1695",315490,1095503,3047061,3046817
"1698",2860419,2859794,3049430,3048805
"1699",2859654,2860282,3052846,3049293
"1700",2860476,2857119,3062582,3050311
"1702",2878406,2999199,3077357,3066594
"1703",2878466,2866513,3077539,3065452
"1704",2878461,2878006,3077778,3077080
"1706",2904224,2904010,3078147,3077872
"1707",2879760,2904014,3079445,3077937
"1708",2891925,2877884,3092537,3077569
"1709",803330,2887578,3092654,3088189
"1710",596980,803401,3092662,3092583
"1712",1948610,3071350,3092666,3092583
"1715",2904407,2904014,3095894,3095318
"1716",2878560,2904011,3096356,3095498
"1719",2917794,2906629,3109256,3097350
"1720",542002,2911423,3110347,3102886
"1722",2920233,3270740,3111363,3109431
"1723",2918902,2919425,3112760,3110555
"1724",2919364,2918061,3113222,3111919
"1726",2922445,3273582,3114941,3113264
"1727",2927672,2918039,3120206,3110533
"1728",1898280,2922535,3123467,3115076
"1730",2930944,3259650,3123487,3122118
"1731",2660882,2928041,3136653,3120586
"1732",1759766,2660930,3136701,3136605
"1734",2945882,2931016,3139689,3123618
"1736",2947687,3318289,3141144,3141064
"1738",2947574,3318289,3141247,3141170
"1739",2947468,2946069,3141252,3139746
"1740",2552712,2947382,3141853,3141165
"1742",2970339,2947495,3164058,3141062
"1743",2971489,2966186,3165359,3159907
"1744",2972633,2970376,3166586,3164214
"1746",2241116,3938228,3171176,3170625
"1749",2984293,3089639,3179391,3175835
"1750",2327022,2977641,3179927,3172699
"1752",2987076,2984417,3183752,3179661
"1753",2186721,2985793,3185023,3182469
"1755",253420,2656417,3193955,3193882
"1758",597023,803449,3193957,3193873
"1760",2867856,3071389,3197835,3193882
"1763",1265657,4353200,3201147,3199219
"1766",2841298,3042488,3209609,3208013
"1767",2842401,2841170,3210730,3209481
"1769",3049084,3043669,3215053,3209308
"1770",695902,3046122,3217535,3212091
"1772",3059365,3049160,3225477,3215173
"1775",3069819,3067378,3229296,3226790
"1778",2579639,3071420,3238378,3230654
"1779",960691,2581566,3239075,3236454
"1782",3083875,4618192,3240516,3239430
"1784",4596430,4596864,3243929,3243495
"1785",4596068,4596569,3244294,3243790
"1786",1630155,4596186,3245068,3244176
"1788",2266593,4553835,3245487,3244901
"1789",2266323,2267156,3245757,3244924
"1790",1654828,2266366,3246764,3245714
"1792",3087862,3246995,3252849,3247510
"1793",2980797,3083935,3254694,3248927
"1795",3093919,3088145,3259084,3253198
"1796",3098403,3092862,3264250,3258027
"1798",2522915,3098558,3272525,3264341
"1799",508685,2523450,3272762,3271990
"1803",720172,4373298,3274644,3272728
"1806",3110443,4362674,3276223,3276098
"1807",1363401,3101804,3289633,3267482
"1810",3245406,3246266,3295544,3294672
"1811",1629673,3245696,3298678,3295254
"1814",3243453,4551623,3300201,3296113
"1815",3139586,3244741,3305289,3298907
"1816",2850662,3136663,3307804,3302347
"1817",1033400,2850840,3310389,3307626
"1820",1970138,3217875,3315121,3314748
"1821",1493340,1969522,3315133,3314505
"1824",3149514,4593168,3316811,3314468
"1825",2689604,3148977,3316926,3316274
"1826",1799047,2689518,3316927,3316839
"1827",192717,1799132,3316928,3316841
"1829",1007737,2543653,3316931,3316853
"1831",192764,2543733,3317037,3316994
"1834",775649,3149621,3320238,3318539
"1836",2971997,3247812,3325731,3322361
"1838",3161212,3150818,3331178,3319577
"1840",2339327,3744956,3339121,3333291
"1843",3171834,4332506,3342804,3342517
"1847",3179574,3879740,3350023,3345487
"1848",3183669,3173501,3354221,3343959
"1849",3185076,3179616,3359177,3350120
"1852",3203122,3194997,3370452,3362195
"1857",3600515,4583117,3377653,3374369
"1858",3214889,3600555,3378249,3377613
"1859",2785759,3211100,3379082,3374499
"1862",1971587,3216700,3381269,3380085
"1864",1493604,3217887,3381269,3381160
"1867",1969886,4592927,3383195,3381109
"1869",1493582,4592897,3383217,3383065
"1872",3220890,3217556,3386102,3382755
"1875",3239530,3234738,3393227,3388353
"1877",3154056,3239762,3395687,3393318
"1878",2380722,3153669,3397103,3395300
"1881",3252658,3252911,3399962,3399608
"1882",1896933,3252221,3406361,3399523
"1885",2716251,3253318,3406617,3400012
"1886",953506,2716078,3408669,3406444
"1889",2928280,2929479,3411317,3410070
"1892",3270264,3270066,3414415,3414090
"1893",3270264,3269953,3414531,3414090
"1894",3270264,3269846,3414647,3414096
"1895",3270264,3269882,3414755,3414244
"1896",3270164,3269877,3414852,3414355
"1897",3270051,3269884,3414852,3414594
"1898",541978,3269846,3416265,3414668
"1902",2176358,3283139,3423452,3422601
"1904",767484,2261091,3425362,3424424
"1906",2171429,3279044,3431767,3426950
"1907",2169757,2176311,3432178,3426839
"1910",277744,3298212,3442192,3436987
"1912",245577,3303374,3443779,3442258
"1914",3890375,3891392,3445886,3444878
"1915",3539372,3890555,3449482,3445706
"1916",3313226,3539427,3453444,3449427
"1917",597015,3304572,3453576,3444786
"1920",253430,3071398,3453576,3453484
"1923",2656516,4583138,3453592,3453505
"1924",127875,2656429,3453605,3453505
"1927",2947497,2947466,3458579,3458500
"1928",2947607,2947573,3458579,3458503
"1930",2830111,3313342,3481281,3453610
"1931",827860,2829939,3483780,3481109
"1933",3349085,3322036,3488813,3461715
"1934",3029395,3348324,3500037,3488051
"1935",2583583,3030211,3500392,3499221
"1938",356132,3367860,3503048,3500654
"1941",3374491,3369036,3509940,3504466
"1943",3378871,3376249,3513462,3510019
"1945",182000,3382666,3516467,3515922
"1947",181639,3381343,3517527,3517438
"1949",3206649,3378876,3523589,3513548
"1951",3386129,3383330,3529828,3526676
"1952",3390449,3385763,3534227,3529458
"1955",3404459,3676218,3547986,3539786
"1956",2041066,3392426,3549686,3535908
"1958",3412779,3404642,3557769,3549305
"1959",2590665,3410161,3565349,3555152
"1962",481291,3660413,3565382,3562272
"1964",2543772,3418373,3566192,3565605
"1966",4040624,4171795,3566469,3566418
"1967",3423366,4040675,3566631,3566418
"1969",4040507,4171969,3566754,3566410
"1971",2726198,4213172,3566754,3566612
"1972",228746,2726052,3566754,3566608
"1976",3423551,4175832,3566998,3566779
"1978",3425609,4040641,3568813,3566865
"1980",226933,3946828,3568813,3566861
"1983",2728010,4213165,3568813,3566864
"1985",225637,4038687,3570194,3568902
"1988",2729446,4169809,3570382,3568902
"1990",2731366,3944872,3572219,3568902
"1992",4035322,4168265,3572219,3570401
"1994",223467,4211211,3572310,3568902
"1998",3476551,4177130,3604705,3598300
"1999",3477891,3470094,3606159,3598251
"2000",48377,3476551,3608414,3604815
"2003",3483182,3482642,3611729,3610343
"2004",2746328,3481179,3611858,3609722
"2005",2543657,2746423,3611870,3611763
"2006",192647,2543772,3611870,3611755
"2008",1007825,1798982,3611885,3611735
"2010",1746712,2689668,3612422,3611737
"2012",1831970,1843720,3619652,3614846
"2013",554338,1830847,3621608,3618529
"2015",2656505,3483249,3626604,3612730
"2016",1948618,2656453,3626630,3626552
"2018",1466921,3496990,3630639,3626634
"2019",1466343,1466754,3630649,3630472
"2024",3519217,3512634,3642903,3636247
"2025",3521183,3516000,3644934,3639687
"2026",3521660,3519354,3645441,3643103
"2027",3525448,3521459,3649231,3645240
"2030",1057698,4639977,3660060,3659990
"2032",147524,3531223,3667497,3654973
"2034",3543927,4568986,3667698,3666926
"2035",2422779,3539866,3667698,3663591
"2036",2357698,2423551,3667732,3666926
"2038",4521038,4521889,3671342,3670521
"2039",3576097,4521086,3671342,3671294
"2041",3564958,4492525,3674731,3670390
"2044",3552613,3566166,3676442,3675921
"2045",3555786,3544092,3679601,3667906
"2046",246556,3552937,3680285,3676751
"2048",3560624,3555885,3687224,3680395
"2049",3563488,3558080,3690206,3684678
"2051",3550895,4138196,3699733,3692764
"2053",3575160,3564092,3710016,3698870
"2056",3581626,3578950,3716105,3713292
"2057",1513219,3580921,3724164,3715400
"2059",1380893,4247386,3724494,3723961
"2062",3598367,3598554,3734307,3732392
"2063",253418,3592725,3734455,3728655
"2065",190726,2656423,3734489,3734390
"2068",3214257,3598554,3736549,3734501
"2069",1177052,3214293,3738334,3736513
"2071",509137,1185098,3744410,3738277
"2073",3217857,3599875,3746088,3735872
"2074",1969518,3218007,3746317,3745938
"2077",1494007,4592446,3746352,3745628
"2081",828580,3618492,3755270,3751255
"2084",3134872,3636229,3759992,3757084
"2086",1713265,3639330,3762089,3760098
"2087",1714121,1712856,3762954,3761680
"2089",3645276,3640798,3766076,3761550
"2090",3647651,3642387,3769945,3763188
"2091",3100422,3645360,3770717,3767621
"2092",1246442,3100276,3776550,3770571
"2093",1245805,1247028,3777187,3775970
"2095",3671998,3669490,3780172,3775459
"2096",3674368,3671304,3782694,3779480
"2100",3689140,3680444,3797334,3788563
"2101",3700287,3685700,3808486,3793894
"2102",1269473,3689140,3808486,3797402
"2104",1270008,1270158,3808486,3808104
"2107",968059,3700595,3810862,3808990
"2109",868012,1305376,3811876,3811746
"2111",1558562,2276897,3811877,3811735
"2112",1558747,1558449,3812062,3811764
"2113",1353385,1558698,3812080,3812013
"2114",872709,1353335,3812426,3812030
"2116",3614660,3701870,3814970,3810345
"2118",2286220,3706091,3820476,3814415
"2120",3710490,3982849,3822282,3820366
"2121",999978,3708452,3825860,3820244
"2123",1060363,3289847,3831690,3825604
"2126",1051613,3712176,3836591,3828430
"2128",657502,1641554,3836652,3836439
"2130",3721742,3717300,3839590,3833677
"2131",3726860,3722021,3844340,3839311
"2135",2838105,3736351,3854492,3849389
"2138",65853,4422906,3864662,3863165
"2140",3750914,3744309,3864922,3858189
"2141",1516016,3750817,3869007,3864825
"2142",1448002,1516095,3869037,3868928
"2144",3756726,3754973,3870683,3867973
"2146",3077927,3757922,3876196,3870754
"2148",597021,3771952,3877277,3874937
"2151",253424,3071397,3877277,3877192
"2154",127859,2656411,3877296,3877194
"2156",3777027,4583124,3880011,3877198
"2157",3119609,3774352,3887558,3877332
"2160",3784479,3781177,3896836,3889552
"2162",2656417,3784559,3902867,3896862
"2166",803453,4583203,3902880,3902790
"2167",253329,803363,3902885,3902790
"2171",3800135,3793923,3911555,3905253
"2173",3802968,3802229,3914441,3912677
"2175",2776684,3803199,3922864,3914669
"2177",3827291,3805270,3938962,3916065
"2178",3828665,3818802,3941024,3930470
"2180",3836327,3828797,3948681,3941104
"2181",3836465,3832315,3952163,3944672
"2182",280425,3836394,3953118,3952092
"2184",1592836,1593653,3957457,3956657
"2187",945247,4507189,3960167,3959193
"2190",192719,2689649,3960599,3960558
"2191",192647,192760,3960733,3960558
"2193",1007827,2543731,3960750,3960659
"2195",1799135,2689604,3960752,3960664
"2197",4468478,4470250,3963397,3961616
"2198",3839137,4468788,3966581,3963087
"2199",147186,3838198,3967357,3965643
"2201",2423576,4569749,3967613,3966827
"2202",2356869,2422784,3967613,3966820
"2204",639608,3543903,3971374,3966839
"2205",127769,639550,3971386,3971316
"2208",2656417,3071271,3971392,3971274
"2209",1948737,2656527,3971397,3971282
"2210",1362514,1948614,3971400,3971274
"2211",803449,1362640,3971401,3971274
"2213",438280,4583244,3971404,3971274
"2214",253335,438149,3971404,3971273
"2216",3841821,3840215,3978661,3975544
"2217",3842403,3840586,3985988,3977425
"2219",86809,3845733,3996438,3986132
"2221",3853689,3850802,3998580,3995623
"2222",3855106,3853087,4000873,3997989
"2223",2480532,3853754,4005777,3999518
"2225",3856307,3855111,4007083,4005854
"2228",2297638,4292374,4018590,4014930
"2230",3536279,3667809,4024963,4018617
"2231",2318406,3536350,4027847,4024892
"2232",1053810,2318491,4028814,4027762
"2235",3174162,3876144,4040017,4034242
"2236",3175192,3174014,4041053,4039869
"2238",2543771,3877705,4042506,4038855
"2241",3888192,3881222,4049577,4042520
"2242",3843732,3886827,4059017,4048212
"2244",1997379,3891516,4061051,4053984
"2246",846369,3589038,4061392,4061353
"2248",3908384,4246923,4061531,4061353
"2250",3911630,3908551,4064732,4061602
"2252",4142567,4143375,4065792,4064987
"2253",2261092,4142618,4066150,4065741
"2255",3915441,4143806,4072664,4065980
"2256",3931296,3911839,4089449,4069035
"2258",4451227,4583118,4092240,4089451
"2259",2238603,4451169,4092748,4092182
"2261",2237949,4452234,4093393,4093241
"2263",3734868,4453721,4094538,4093768
"2264",1738728,3734686,4097431,4094356
"2267",225361,4035178,4101722,4099779
"2270",2729551,4166306,4101738,4099779
"2273",4169809,4207937,4103198,4099923
"2274",2728016,4168372,4103198,4101759
"2276",226927,4037397,4103198,4101906
"2279",4040644,4211217,4105238,4103287
"2281",2726059,4169815,4105240,4103287
"2283",3423412,3425609,4105241,4103287
"2284",1746578,3423551,4105345,4105102
"2285",229005,1746522,4105360,4105289
"2288",3852408,3944878,4109310,4103287
"2290",127867,3950243,4111953,4108655
"2293",803324,3071389,4111965,4111850
"2295",3959820,3953463,4119232,4111972
"2297",831766,3999632,4123765,4121406
"2298",831326,831887,4124211,4123644
"2300",3967725,3960632,4126892,4119718
"2301",2112051,3966126,4132680,4125293
"2303",121040,3967901,4139922,4127056
"2307",4606200,4606401,4141221,4141135
"2308",2286288,4606286,4141341,4141135
"2312",3994095,3986415,4150903,4141630
"2313",3961434,3993727,4156316,4150535
"2316",127800,3994188,4169681,4151684
"2318",803445,3071274,4169723,4169604
"2319",597111,803326,4169731,4169605
"2321",1580314,4001127,4172921,4157872
"2323",659089,4015364,4180646,4173800
"2325",4027280,4021898,4188002,4180457
"2326",3943393,4027235,4197644,4187957
"2329",2729567,4207937,4197649,4195850
"2331",225462,4027606,4197751,4188134
"2333",1746599,3428974,4197753,4195850
"2334",780827,1746522,4197920,4197676
"2337",2521009,2521180,4197936,4197865
"2338",781147,2520938,4197938,4197865
"2340",226927,4037237,4199286,4197837
"2343",3944872,4209921,4199286,4197994
"2345",2728016,4168519,4199286,4197994
"2347",228716,3944878,4201166,4199375
"2350",2726228,4211217,4201166,4199375
"2354",3423663,4213034,4201426,4201296
"2355",228883,3423793,4201429,4201296
"2357",2726051,3946694,4201439,4201296
"2359",3423216,3423370,4201591,4201419
"2361",4044044,4171631,4204822,4201296
"2364",4053417,4051280,4212543,4210361
"2365",3004520,4050132,4213399,4209251
"2366",347570,3004434,4213651,4213313
"2369",2613010,4204086,4213777,4213501
"2370",2322367,2613284,4213780,4213503
"2373",1948726,4053647,4215574,4212634
"2374",127767,1948628,4215576,4215476
"2377",4067100,4056625,4227106,4215599
"2378",4065724,4065969,4228571,4225981
"2383",4078441,4070516,4239637,4231607
"2384",1547384,4075491,4247825,4236687
"2386",4087133,4080293,4250452,4242277
"2387",4088055,4086980,4251419,4250299
"2389",4094393,4093124,4256036,4253496
"2391",4100666,4094736,4262078,4256065
"2392",4101431,4098634,4267160,4260043
"2394",4108510,4102819,4273288,4267226
"2395",2542884,4103601,4274122,4268375
"2397",4110679,4108722,4280131,4273383
"2399",1606969,4310881,4289020,4283618
"2400",1607291,1598624,4289401,4280613
"2403",3076113,4110740,4294158,4290265
"2406",2656423,4583216,4297465,4297381
"2407",639622,2656533,4297467,4297355
"2408",597105,639521,4297478,4297366
"2411",253337,3071269,4297481,4297351
"2413",4132268,4118809,4313309,4297539
"2414",3069624,4128072,4314098,4309124
"2418",863641,4137049,4324481,4321830
"2420",2260906,2502758,4328593,4325256
"2421",863433,2261091,4331221,4328408
"2423",4153268,4137932,4338137,4322703
"2425",4160840,4153696,4345430,4338273
"2426",2246300,4154997,4348561,4339509
"2430",2729567,4207937,4352720,4350921
"2432",225462,4035183,4352822,4350782
"2434",1746599,3428974,4352824,4350921
"2435",780827,1746522,4352991,4352747
"2438",2521009,2521180,4353007,4352936
"2439",781147,2520938,4353009,4352936
"2441",226927,4037237,4354357,4352908
"2444",3944872,4209921,4354357,4353065
"2446",2728016,4168519,4354357,4353065
"2448",228716,3944878,4356232,4354446
"2450",2726228,4038699,4356232,4354454
"2454",4213164,4211217,4356497,4354446
"2455",3423663,4213034,4356497,4356367
"2456",228883,3423793,4356500,4356367
"2458",2726051,3946694,4356510,4356367
"2461",3423371,4171631,4356545,4356367
"2462",1287243,3423550,4360215,4356365
"2467",3423574,4392589,4360493,4360418
"2469",253430,3471328,4364404,4360604
"2473",2656515,3071384,4364419,4364326
"2475",4189580,4583138,4374243,4364333
"2476",4196255,4171991,4382548,4356606
"2477",127798,4190586,4382633,4376871
"2480",597092,3071267,4382662,4382546
"2482",253353,803357,4382662,4382585
"2484",1362518,4583240,4382672,4382554
"2485",461724,1362636,4386982,4382554
"2487",2687905,4054663,4390752,4390457
"2488",2613494,2688205,4390815,4390452
"2489",2322859,2613007,4390820,4390328
"2490",347091,2322464,4390921,4390425
"2492",225361,4207602,4396266,4394084
"2495",2729551,4035322,4396282,4394465
"2498",3944872,4196263,4397781,4382681
"2500",2728016,4168370,4397781,4396301
"2502",226927,4037397,4397781,4396489
"2505",228711,3944878,4399651,4397870
"2507",2726233,4038699,4399651,4397878
"2511",4213166,4211217,4399923,4397870
"2512",3423658,4213031,4399926,4399788
"2513",228886,3423796,4399927,4399788
"2515",2726052,3946691,4399933,4399788
"2517",3423216,3423370,4400124,4399914
"2523",3410574,4222804,4409545,4407211
"2525",4230222,4223720,4414770,4408247
"2526",377311,4227693,4415432,4412249
"2529",2467854,4231359,4427282,4416345
"2531",438277,4231884,4440044,4438468
"2533",1046084,4233672,4445797,4440077
"2536",3908204,4240246,4451022,4446092
"2537",845975,3908250,4451360,4450976
"2544",3214925,4254050,4459994,4456185
"2546",4266861,4257782,4469117,4460021
"2549",4274664,4269282,4476819,4470551
"2550",4275188,4271029,4501965,4473194
"2551",4278132,4274756,4505075,4501533
"2552",3028487,4275603,4507494,4502513
"2554",4285231,4278197,4513487,4505865
"2555",2656411,4283236,4513617,4511490
"2556",354459,2656521,4513868,4513500
"2557",353027,354494,4515279,4513833
"2559",277745,4285396,4517598,4513698
"2563",2662399,4289233,4521650,4517640
"2564",2662490,2662485,4521650,4521569
"2566",4293533,4484355,4522020,4521587
"2567",4295784,4293211,4524319,4521698
"2569",4299543,4296440,4527674,4524488
"2573",586545,4326397,4538036,4530165
"2575",4344735,4357123,4545203,4539335
"2576",1688377,4330275,4547011,4530735
"2578",4351723,4345664,4551585,4545349
"2579",1658473,4349095,4552305,4548940
"2581",942157,1660809,4553050,4552145
"2584",942967,1661531,4553870,4552864
"2587",943902,1662605,4554811,4553941
"2590",4013005,4362551,4576855,4566579
"2594",4377757,4374635,4582403,4578547
"2595",757050,4376812,4584653,4581435
"2597",489266,4379007,4589865,4582479
"2599",902917,4385779,4596067,4588927
"2600",900514,902431,4596078,4595578
"2602",1992042,4175760,4596495,4596426
"2604",4392468,4392583,4596528,4596420
"2606",4175815,4392472,4596713,4596420
"2607",1992042,4175760,4596727,4596658
"2609",4392579,4392583,4596760,4596652
"2610",4392468,4392472,4596760,4596652
"2611",4392436,4392357,4596960,4596649
"2613",1992039,4392472,4596962,4596884
"2615",2947875,4175760,4601508,4596890
"2617",4409122,4392583,4613530,4596884
"2619",3180831,4409221,4618779,4613539
"2621",3750778,4411311,4629633,4616649
"2622",65852,3749285,4629639,4628158
"2624",4426558,4416017,4631954,4621281
"2625",121457,4425012,4634966,4630408
"2627",421752,602025,4635653,4634915
"2629",4434477,4428080,4639480,4633078
"2631",4437493,4434622,4642509,4639560
"2634",4449734,4441542,4655351,4645206
"2636",3089065,4454610,4660056,4655497
"2637",2439199,3089107,4671447,4660014
"2638",2439676,2439035,4671924,4671283
"2641",1645436,4459488,4691877,4683297
"2643",3255214,4459899,4692489,4691967
"2644",1534880,3255251,4692489,4692452
"2648",3260110,4460521,4703419,4692552
"2651",290220,4477316,4708182,4707275
"2653",340648,4618117,4708852,4708296
"2655",550572,3011840,4709172,4708941
"2657",290446,4474810,4712893,4711172
"2659",4479486,4477306,4715438,4711746
"2660",4484312,4479031,4720343,4714983
"2662",1768770,4484440,4722135,4720448
"2663",253334,1768897,4722136,4722006
"2665",3547453,4485995,4726218,4722129
"2666",3546559,3547794,4727112,4725877
"2667",343415,3547130,4730275,4726541
"2670",530122,4534811,4752567,4734257
"2672",192647,2057639,4753833,4752601
"2674",1799129,2543771,4753846,4753719
"2676",1007828,2689667,4753851,4753700
"2678",4534241,4532436,4756022,4753940
"2679",3246830,4533791,4761233,4755572
"2681",4560813,4554551,4768542,4761026
"2682",4179724,4557397,4769015,4765082
"2683",253420,4179649,4769020,4768939
"2685",803360,4583117,4769026,4768938
"2686",597018,803449,4769026,4768938
"2688",1948651,3071389,4769028,4768947
"2690",883853,4561528,4773106,4769317
"2692",2423418,4565991,4773883,4770700
"2693",2357030,2423555,4773888,4773746
"2696",4580987,4579517,4778552,4777056
"2699",4587861,4583253,4785378,4780763
"2700",632114,4586936,4787528,4784452
"2701",631219,632379,4788333,4787267
"2702",629974,631672,4789629,4787883
"2704",3217875,4587909,4791313,4786300
"2705",1969519,3218059,4791559,4791129
"2706",1494007,1970138,4791595,4790940
"2709",2688096,4591598,4792714,4790023
"2711",4604800,4597150,4807440,4799699
"2712",4605736,4603460,4809005,4806100
"2713",4606402,4604879,4810716,4808141
"2714",3982605,4606314,4810716,4810628
"2716",3982606,4606199,4810833,4810628
"2718",4606166,4606078,4810948,4810746
"2719",3982604,4606078,4810949,4810860
"2722",2835086,4606675,4822279,4811141
"2723",758452,2835128,4822295,4822237
"2725",2656415,4614682,4825051,4818788
"2726",438273,2656521,4825054,4824944
"2729",253340,3071311,4825056,4824970
"2730",127756,253432,4825056,4824963
"2733",4627295,4620883,4835659,4825141
"2734",4628547,4623108,4837041,4831420
"2735",4296433,4627316,4837085,4835810
"2736",4295871,4296394,4837086,4837046
"2737",741023,4295832,4837086,4837047
"2742",377471,4296283,4837086,4837046
"2744",2340350,4450992,4837087,4837050
"2746",411115,3296996,4837087,4837047
"2749",72173,4614604,4837087,4837046
"2752",551461,4614402,4837087,4837046
"2754",2252833,4103545,4837087,4837048
"2755",2139740,2252795,4837088,4837049
"2758",4457276,4614504,4837094,4837047
"2759",4229365,4457231,4837096,4837049
"2760",856491,4229413,4837431,4837049
"2764",1000029,4628739,4851254,4837046
"2766",417420,4546144,4855814,4851058
